UserID,Overall
k191wden81pqngxd4,0
k1940mzgiejbqb1xlr,1
k190yn2q7haqzjquny,0
k190z6xuncjnhiruex,1
k195d08ubv73bhf5cg,0
k192fzkd4humfo04ee,0
k194zcuftp0tlabfs,0
k190y5xzu5ikws8t8,0
k193ku249jorf4mi68,0
k190zzhcspcld6t82l,1
k19112mmo2z1v3p2e,0
k192olu4yi9e2i55fh,1
k190ytu48nhte1aobp,1
k193ibzpp7s713fag,1
k191362lsuou6ahajh,1
k193ubuz9zv3p4ef1l,0
k1922pq5drw1m15ep,1
k193cfj7wxjwz8yqnd,0
k193oru8mwlpi1hv6n,0
k192y00fqhzzz0a5bf,1
k192sehdp7zwpkt7j,1
k19289fdcyyb8qbeiuk,1
k1acj0kdbdicafjf5u,0
k1922rdkm7f7lqk34p,1
k1911jwdw71n981gvp,0
k19231qu1lui1fewad,1
k191wcjz96vtfn9xd,0
k190yieu7mwkyi28i9,0
k191vua3a1uacju0w,0
k1912zpm7llcdcb02d,0
k19357paz9u7hwz4w3,0
k1947x6vpcw2geol57,1
k190ywe8u8hbp0rnk,1
k190ypzu6sjygsdnm8,0
k19146whlbnpmyowad,0
k191xmoh0yedzjqly,1
k192gksox4m6q63g2r,0
k192np53wy5qua7gsp,0
k190z26fxx66xktmfl,1
k191mtwcfv7xs3xt5w,1
k192o2dgydw8hmgxpx,1
k196f0w470wr7wm5u8p,0
k1922tqfb308fnm9ji,1
k192ee8kt4x8dru3zd,1
k19168lwsv9aox70m,0
k1910856s1o8j9kea,0
k191sis64d2cd15xtm,0
k1911astbkdgugbteg,0
k191bswkr7509ak4tn,0
k192erwrr6o3rkzre,1
k193v9adkc6v7y2p1,1
k194xx7m9bn7xcy6pt,0
k1935ewtza4h5bcs5o,1
k1936i0gu0t525anfa,0
k190ywsl94hhzmofg,0
k191ytpicqu71yggx9h,0
k194cpqnxqnzdcjqf,0
k1934yssnxfsg6ks5e,1
k193izn0ina5957lko,0
k1915sbls3y435g5v8,1
k190znxr8bkt8463yk,0
k191vc1hzze9apdbhm,1
k1919pgshq76l7bdcl,0
k1928t0goloocht51,0
k195d49rfuau2r8x0fh,0
k191dktlr3fq18om2h,0
k194hyi6b3zulnm3yd,1
k1910ox6v8w5edz3iw,0
k192gfz8kyypto8r1b,1
k19348gmk5hbh7d8yp,1
k191pkxurzfukds57k,0
k190z4brit6x8pn8md,0
k1910q4wz5dqnqsy2,0
k19rrsa5yarf8oqyzd,0
k1910hu4zv74aixv9f,1
